X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
16833276.45,-4026322.831,port161,Port Botany,Australia,AUS,Asia & Pacific,"Port Botany, Australia",-33.98153451,151.2158952,1434,1051,0,32,0,350,Mineral Products,Chemical & Allied Industries,Vegetable Products,13.63,0.13,AU BTB,76e70f1bbaa6425a87c17a98184b7736,Australia,471
14987817.91,4133454.731,port465,Himeji,Japan,JPN,Asia & Pacific,"Himeji, Japan",34.77579915,134.637859,3584,7,362,1860,0,1354,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.99,0.56,JP HIM,a72362aa63f1417cb988eb892b115fd1,Japan,472
4350931.928,5480827.03,port1326,Tuapse,Russian Federation,RUS,Europe,"Tuapse, Russian Federation",44.09933265,39.08508651,1287,7,289,385,0,605,Mineral Products,Vegetable Products,Chemical & Allied Industries,2.6,3.5,RU TUA,555d98ea6e454e8b9d438248c972b3ef,Russian Federation,473
11599776.02,117533.5072,port1273,Tanjunguban,Indonesia,IDN,Asia & Pacific,"Tanjunguban, Indonesia",1.055761709,104.2025609,980,12,19,80,1,868,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,1.39,1.06,ID TAN,b3a8a83cc0e84d44b9e92504e48382a5,Indonesia,474
3957029.044,3193601.252,port304,Duba,Saudi Arabia,SAU,Asia & Pacific,"Duba, Saudi Arabia",27.55991231,35.5465967,75,2,12,61,0,0,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.25,0.06,,d2285d25fa284a598afb594503f00868,Saudi Arabia,475
17048088.34,-3174601.909,port174,Brisbane,Australia,AUS,Asia & Pacific,"Brisbane, Australia",-27.40850097,153.1455832,2187,984,312,164,315,410,Mineral Products,Vegetable Products,Wood & Wood Products,13.5,0.59,AU BNE,5b230483f9304bb688639c21f070e3cd,Australia,476
2432327.015,4626933.003,port12,Aiyion,Greece,GRC,Europe,"Aiyion, Greece",38.33552308,21.84996534,134,0,32,101,0,0,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.33,1.61,,e1f354e2297346c1a0b86fdfd557274f,Greece,477
-968209.6333,5041070.546,port999,Leixoes,Portugal,PRT,Europe,"Leixoes, Portugal",41.19448451,-8.697575118,2259,1079,134,751,0,292,Mineral Products,Chemical & Allied Industries,Vegetable Products,15.01,12.37,,9144e76ffa7544f98c291c8d7b159b4a,Portugal,478
14744909.44,4075551.574,port466,Hiroshima,Japan,JPN,Asia & Pacific,"Hiroshima, Japan",34.34744658,132.4557751,2601,593,363,830,596,218,Mineral Products,Vegetable Products,Wood & Wood Products,0.11,1.06,JP HIJ,4f5a36fb7cd34cb08bbf49c9c7752f32,Japan,479
15653282.39,4362988.95,port468,Hitachi,Japan,JPN,Asia & Pacific,"Hitachi, Japan",36.45195306,140.6158282,1463,159,160,523,459,160,Mineral Products,Machinery & Electrical Equipment,Wood & Wood Products,1.29,0.91,JP HTC,4aa2939a56d54a318de275d790c8aec7,Japan,480
